question_id,lang,text
35ccf5f2-2446-56cd-9f29-427c309a5049,en,"Use of fossil fuels: The amount of fossil fuels (such as coal, oil, and natural gas) that is required for food production."
03722d78-3c6a-5b83-9229-bec43ee67f73,en,"Use of minerals and metals: The amount of minerals (e.g., for the production of fertilizers) and metals (e.g., for the production of aluminum for agricultural equipment) used in food production."
4975aade-fd21-5a9b-8a31-7408b6094dc0,en,Water use: The amount of water that is required for food production.
03a3037a-442e-5251-8233-90f6a016050c,en,Land use: The area of land that is required for food production.
5ae98e6f-939f-578d-b31c-e5e64ec34552,en,Biodiversity: The impact of food production on the variety of life on Earth and the extinction of plant and animal species.
40a17846-9f33-56a3-9ded-42e423b8cbdf,en,Toxic water pollution: The pollution of water through toxic chemicals from food production.
4c702395-b20a-5c47-adef-a08377941651,en,"Overfertilization: Nutrient pollution of soil and water from food production, negatively affecting plants and animals."
b0ed8dee-ca8f-5a96-a554-fbea07173771,en,"Acidification (decrease in pH): An increase in acidity of rain, soil, and water due to pollution from food production, negatively affecting plants and animals."
284d1894-4d78-57e3-a433-e19c42ee5a78,en,Ozone depletion: The destruction of the ozone layer caused by chemicals from food production.
14329c24-e163-5712-aec9-52d3fffca0ec,en,"Air pollution: Airborne contaminants that are released by food production, harming air quality and creating smog."
c4682787-22e2-5992-b024-2103b408e0d8,en,Climate change: The emission of greenhouse gases from food production that make the planet hotter.
24e57a41-25e6-595c-b8be-7c9c4276e361,en,"Mineral Content: Micronutrients like calcium, iron, zinc and potassium that the body needs for vital functions, including building bones and supporting nerve and muscle function."
1ac7e0c2-87e5-5f3b-adfc-bf3328aa4600,en,"Vitamin content: Micronutrients that the body needs for maintaining various physiological functions, such as metabolism, growth, and immunity."
d90a441b-b432-56ef-a266-4caee20122e9,en,"Calorie content: Units of energy that the body needs for basic functions such as breathing and movement, and that can lead to nutrient deficiencies when consumed in too small amounts or to weight gain when consumed in excess."
dd032e00-c343-5b8f-9fad-261669604343,en,Sugar content: A type of carbohydrate that provides quick energy but can contribute to health issues like obesity or diabetes when consumed in excess.
45050437-23ec-5f8f-843a-52c8cfd5f56a,en,"Salt content: A source of sodium that plays a vital role in body functions like hydration and muscle contractions, but high intake is linked to elevated blood pressure and heart strain."
06323a02-d640-5ca6-896b-51dafef82648,en,Saturated fat content: A type of fat that can increase the risk of heart diseases when consumed in excess.
ac9a19a1-cef4-5683-9c93-916c733e66ee,en,"Content of fiber: A type of carbohydrate that occurs e.g., in fruits, vegetables or whole grain produce, supports digestion and helps regulate the cardiovascular system."
9cbcada1-ea45-5a0b-bc39-24ea418a08b0,en,"Protein content: Amino acid chains that play a key role in many body functions, such as tissue repair."
cdb86f6c-9d32-51bc-ba84-eed95f46b913,en,Social contact: Farming practices that allow animals to have social contact with their kind.
40bddc30-4749-5c8e-8a39-487c1c28ea2c,en,Sufficient Space: Farming practices that do not confide animals to cramped pens.
43761d6a-6bf8-55ef-9998-150e979d6a96,en,Free-range: Farming practices that allow animals to roam outdoors on pastureland or other natural terrain.
af533cc7-625d-55a7-9f61-33bd352c607f,en,"Mother-infant relationship: Farming practices that do not separate the mother animal from its offspring but allow for mother-infant bonding (e.g., for cattle)."
7c7b33a3-29a9-57b0-8f8e-b0e9a338c40c,en,"Avoidance of body-altering procedures: Farming practices that do not involve altering an animal's body, such as beak trimming or tail docking."
44bd89db-c803-57dc-9e29-b5114be2dad6,en,Species-appropriate diet: Farming practices that provide animals with a diet that closely resembles what they would naturally eat.
