id,lang,term,canonical_en,description,category_hint_l1,category_hint_l2,category_hint_l3
df29e489-1272-5347-a339-6e3132efcbb1,lt,Sojų padažas,soy sauce,soy sauce,"Herbs, spices and condiments",Condiment,Soy sauce
92ddc3e6-1cc5-5bab-aa07-40b8e9ad8662,lt,Tortilijos,tortillas,"tortillas, thin unleavened flatbreads of wheat or maize",Grains and grain-based products,Bread and rolls,"Unleavened bread, crisp bread and rusk"
fd81926a-88dd-5775-a31f-220534a0509a,lt,Makaronai,pasta,"pasta or noodles, dried",Grains and grain-based products,Pasta (Raw),
55d34c1f-7ed1-5892-a14e-26aa78e33bf7,lt,Makaronų,pasta (of pasta),"the genitive plural of makaronai, pasta",Grains and grain-based products,,
029c3add-fd1d-564b-9a5d-261abd4a06ff,lt,Vermišeliai,vermicelli,"vermicelli, very thin noodles",Grains and grain-based products,Pasta (Raw),
98b22816-f90a-5dda-858f-83d3f5a89ba2,lt,Prieskonių,spice (of spices),"the genitive plural of prieskonis, spice","Herbs, spices and condiments",,
92877342-8b98-5a9a-9b22-19171a9a0cb8,lt,Actas,vinegar,vinegar,"Herbs, spices and condiments",Condiment,
b08383fd-b4d3-5123-8434-1438fc9bbde8,lt,Salsa,salsa,"salsa, a chunky tomato and chilli sauce","Herbs, spices and condiments",Savoury sauces,
54d7107a-e5de-58ed-9359-414f6acb8ee5,lt,Pasta,paste,"a thick paste, of spices, nuts or vegetables",,,
36e48fdb-f716-57ce-ac16-1b7ea1d0f0f1,lt,Aliejus,oil,edible oil,Animal and vegetable fats and oils,,
15f639c8-3d0c-5afa-8b74-76d4f514b53d,lt,Ryžiai,rice,rice,Grains and grain-based products,Grains for human consumption,Rice
556ddacc-40ac-5e1a-bf9d-ca804f83b7e7,lt,Jūros dumbliai,seaweed,"edible seaweed, nori and the like",Vegetables and vegetable products (including fungi),Sea weeds,
7c82ec30-8bc7-5de7-b638-a2fa5f169e63,lt,Bambukų ūgliai,bamboo shoots,bamboo shoots,Vegetables and vegetable products (including fungi),Stem vegetables (Fresh),Bamboo shoots (Bambusa vulgaris)
b8855b94-f079-5e25-a97c-e4f5432fbb24,lt,Marinatas,marinade,"a marinade, poured over food before cooking","Herbs, spices and condiments",Condiment,
