id,lang,term,canonical_en,description,category_hint_l1,category_hint_l2,category_hint_l3
a115bf9c-5359-50ac-8ea1-1bf6efe4d08c,lt,Trapučiai,crispbreads,"puffed grain cakes, light and crisp",Grains and grain-based products,Bread and rolls,Other bread
869576f2-813b-54fd-a324-b76d3b995265,lt,Baltyminis batonėlis,protein bar,a bar sold for its protein,Grains and grain-based products,Breakfast cereals,Cereal bars
522a6393-0197-545e-872f-00ae28a67a92,lt,Dribsniai,flakes,rolled cereal flakes,Grains and grain-based products,Breakfast cereals,
581ca028-86f1-59d0-9f16-348427c0aa8f,lt,Granola,granola,"granola, baked clusters of oats, nuts and sweetener",Grains and grain-based products,Breakfast cereals,Muesli
54adb4de-60c4-5571-bf55-3216c8067c65,lt,Kruopos,groats,"groats, hulled and cut grain",Grains and grain-based products,Grains for human consumption,
8c1a173a-3d61-5da5-8204-89ecd6215e70,lt,Sėklos,seeds,edible seeds,"Legumes, nuts and oilseeds",,
ca823dd5-355f-5299-8886-24d62a6f09ed,lt,Sėklų,seeds (of seeds),"the genitive plural of sėkla, seed",,,
75672935-c7dd-5577-adfd-94cd8fc3d1d2,lt,Lęšių,lentil (of lentils),"the genitive plural of lęšis, lentil",,,
2bf10609-340f-5ca1-b39a-519c5614a467,lt,Milteliai,powder,a powder to be stirred into liquid,,,
2c8fd76e-2b34-5fcd-82a5-c2fb8a0066ac,lt,Baltymai,protein,"protein, as a named ingredient or a powder",,,
5440ee69-7247-5676-a3d8-af5faaf59a85,lt,Tabletės,tablets,"tablets, a supplement form",Products for special nutritional use,Dietary supplements,
ce2cbfec-6535-57d9-a3ef-3a98bd8ddc78,lt,Druska,salt,salt,,,
320cb5b6-63bc-5daf-91c3-0a7471ef4c41,lt,Sausainis,biscuit,a biscuit (cookie),Grains and grain-based products,Fine bakery wares,Biscuits (cookies)
808e1ea8-fd02-5d26-9672-e41792f7c8b1,lt,Skanėstas,treat,"a treat, something sweet eaten for pleasure",,,
